county_fips,time,t2m_mean_K
17067,2008-01-01,
17025,2008-01-01,
17185,2008-01-01,
17113,2008-01-01,
17005,2008-01-01,
17009,2008-01-01,
17083,2008-01-01,
17147,2008-01-01,
17151,2008-01-01,
17011,2008-01-01,
17029,2008-01-01,
17131,2008-01-01,
17049,2008-01-01,
17035,2008-01-01,
17033,2008-01-01,
17057,2008-01-01,
17135,2008-01-01,
17115,2008-01-01,
17055,2008-01-01,
17023,2008-01-01,
17161,2008-01-01,
17093,2008-01-01,
17031,2008-01-01,
17059,2008-01-01,
17103,2008-01-01,
17037,2008-01-01,
17175,2008-01-01,
17001,2008-01-01,
17075,2008-01-01,
17053,2008-01-01,
17041,2008-01-01,
17163,2008-01-01,
17189,2008-01-01,
17171,2008-01-01,
17159,2008-01-01,
17129,2008-01-01,
17065,2008-01-01,
17193,2008-01-01,
17039,2008-01-01,
17155,2008-01-01,
17169,2008-01-01,
17177,2008-01-01,
17181,2008-01-01,
17091,2008-01-01,
17027,2008-01-01,
17085,2008-01-01,
17199,2008-01-01,
17125,2008-01-01,
17105,2008-01-01,
17191,2008-01-01,
17089,2008-01-01,
17069,2008-01-01,
17063,2008-01-01,
17109,2008-01-01,
17127,2008-01-01,
17073,2008-01-01,
17061,2008-01-01,
17157,2008-01-01,
17149,2008-01-01,
17203,2008-01-01,
17145,2008-01-01,
17087,2008-01-01,
17173,2008-01-01,
17051,2008-01-01,
17201,2008-01-01,
17141,2008-01-01,
17139,2008-01-01,
17017,2008-01-01,
17167,2008-01-01,
17179,2008-01-01,
17099,2008-01-01,
17183,2008-01-01,
17007,2008-01-01,
17137,2008-01-01,
17123,2008-01-01,
17079,2008-01-01,
17013,2008-01-01,
17121,2008-01-01,
17187,2008-01-01,
17197,2008-01-01,
17153,2008-01-01,
17119,2008-01-01,
17133,2008-01-01,
17003,2008-01-01,
17043,2008-01-01,
17165,2008-01-01,
17097,2008-01-01,
17117,2008-01-01,
17195,2008-01-01,
17107,2008-01-01,
17081,2008-01-01,
17101,2008-01-01,
17143,2008-01-01,
17019,2008-01-01,
17045,2008-01-01,
17021,2008-01-01,
17095,2008-01-01,
17111,2008-01-01,
17015,2008-01-01,
17047,2008-01-01,
17071,2008-01-01,
17077,2008-01-01,
17067,2008-02-01,
17025,2008-02-01,
17185,2008-02-01,
17113,2008-02-01,
17005,2008-02-01,
17009,2008-02-01,
17083,2008-02-01,
17147,2008-02-01,
17151,2008-02-01,
17011,2008-02-01,
17029,2008-02-01,
17131,2008-02-01,
17049,2008-02-01,
17035,2008-02-01,
17033,2008-02-01,
17057,2008-02-01,
17135,2008-02-01,
17115,2008-02-01,
17055,2008-02-01,
17023,2008-02-01,
17161,2008-02-01,
17093,2008-02-01,
17031,2008-02-01,
17059,2008-02-01,
17103,2008-02-01,
17037,2008-02-01,
17175,2008-02-01,
17001,2008-02-01,
17075,2008-02-01,
17053,2008-02-01,
17041,2008-02-01,
17163,2008-02-01,
17189,2008-02-01,
17171,2008-02-01,
17159,2008-02-01,
17129,2008-02-01,
17065,2008-02-01,
17193,2008-02-01,
17039,2008-02-01,
17155,2008-02-01,
17169,2008-02-01,
17177,2008-02-01,
17181,2008-02-01,
17091,2008-02-01,
17027,2008-02-01,
17085,2008-02-01,
17199,2008-02-01,
17125,2008-02-01,
17105,2008-02-01,
17191,2008-02-01,
17089,2008-02-01,
17069,2008-02-01,
17063,2008-02-01,
17109,2008-02-01,
17127,2008-02-01,
17073,2008-02-01,
17061,2008-02-01,
17157,2008-02-01,
17149,2008-02-01,
17203,2008-02-01,
17145,2008-02-01,
17087,2008-02-01,
17173,2008-02-01,
17051,2008-02-01,
17201,2008-02-01,
17141,2008-02-01,
17139,2008-02-01,
17017,2008-02-01,
17167,2008-02-01,
17179,2008-02-01,
17099,2008-02-01,
17183,2008-02-01,
17007,2008-02-01,
17137,2008-02-01,
17123,2008-02-01,
17079,2008-02-01,
17013,2008-02-01,
17121,2008-02-01,
17187,2008-02-01,
17197,2008-02-01,
17153,2008-02-01,
17119,2008-02-01,
17133,2008-02-01,
17003,2008-02-01,
17043,2008-02-01,
17165,2008-02-01,
17097,2008-02-01,
17117,2008-02-01,
17195,2008-02-01,
17107,2008-02-01,
17081,2008-02-01,
17101,2008-02-01,
17143,2008-02-01,
17019,2008-02-01,
17045,2008-02-01,
17021,2008-02-01,
17095,2008-02-01,
17111,2008-02-01,
17015,2008-02-01,
17047,2008-02-01,
17071,2008-02-01,
17077,2008-02-01,
17067,2008-03-01,
17025,2008-03-01,
17185,2008-03-01,
17113,2008-03-01,
17005,2008-03-01,
17009,2008-03-01,
17083,2008-03-01,
17147,2008-03-01,
17151,2008-03-01,
17011,2008-03-01,
17029,2008-03-01,
17131,2008-03-01,
17049,2008-03-01,
17035,2008-03-01,
17033,2008-03-01,
17057,2008-03-01,
17135,2008-03-01,
17115,2008-03-01,
17055,2008-03-01,
17023,2008-03-01,
17161,2008-03-01,
17093,2008-03-01,
17031,2008-03-01,
17059,2008-03-01,
17103,2008-03-01,
17037,2008-03-01,
17175,2008-03-01,
17001,2008-03-01,
17075,2008-03-01,
17053,2008-03-01,
17041,2008-03-01,
17163,2008-03-01,
17189,2008-03-01,
17171,2008-03-01,
17159,2008-03-01,
17129,2008-03-01,
17065,2008-03-01,
17193,2008-03-01,
17039,2008-03-01,
17155,2008-03-01,
17169,2008-03-01,
17177,2008-03-01,
17181,2008-03-01,
17091,2008-03-01,
17027,2008-03-01,
17085,2008-03-01,
17199,2008-03-01,
17125,2008-03-01,
17105,2008-03-01,
17191,2008-03-01,
17089,2008-03-01,
17069,2008-03-01,
17063,2008-03-01,
17109,2008-03-01,
17127,2008-03-01,
17073,2008-03-01,
17061,2008-03-01,
17157,2008-03-01,
17149,2008-03-01,
17203,2008-03-01,
17145,2008-03-01,
17087,2008-03-01,
17173,2008-03-01,
17051,2008-03-01,
17201,2008-03-01,
17141,2008-03-01,
17139,2008-03-01,
17017,2008-03-01,
17167,2008-03-01,
17179,2008-03-01,
17099,2008-03-01,
17183,2008-03-01,
17007,2008-03-01,
17137,2008-03-01,
17123,2008-03-01,
17079,2008-03-01,
17013,2008-03-01,
17121,2008-03-01,
17187,2008-03-01,
17197,2008-03-01,
17153,2008-03-01,
17119,2008-03-01,
17133,2008-03-01,
17003,2008-03-01,
17043,2008-03-01,
17165,2008-03-01,
17097,2008-03-01,
17117,2008-03-01,
17195,2008-03-01,
17107,2008-03-01,
17081,2008-03-01,
17101,2008-03-01,
17143,2008-03-01,
17019,2008-03-01,
17045,2008-03-01,
17021,2008-03-01,
17095,2008-03-01,
17111,2008-03-01,
17015,2008-03-01,
17047,2008-03-01,
17071,2008-03-01,
17077,2008-03-01,
17067,2008-04-01,
17025,2008-04-01,
17185,2008-04-01,
17113,2008-04-01,
17005,2008-04-01,
17009,2008-04-01,
17083,2008-04-01,
17147,2008-04-01,
17151,2008-04-01,
17011,2008-04-01,
17029,2008-04-01,
17131,2008-04-01,
17049,2008-04-01,
17035,2008-04-01,
17033,2008-04-01,
17057,2008-04-01,
17135,2008-04-01,
17115,2008-04-01,
17055,2008-04-01,
17023,2008-04-01,
17161,2008-04-01,
17093,2008-04-01,
17031,2008-04-01,
17059,2008-04-01,
17103,2008-04-01,
17037,2008-04-01,
17175,2008-04-01,
17001,2008-04-01,
17075,2008-04-01,
17053,2008-04-01,
17041,2008-04-01,
17163,2008-04-01,
17189,2008-04-01,
17171,2008-04-01,
17159,2008-04-01,
17129,2008-04-01,
17065,2008-04-01,
17193,2008-04-01,
17039,2008-04-01,
17155,2008-04-01,
17169,2008-04-01,
17177,2008-04-01,
17181,2008-04-01,
17091,2008-04-01,
17027,2008-04-01,
17085,2008-04-01,
17199,2008-04-01,
17125,2008-04-01,
17105,2008-04-01,
17191,2008-04-01,
17089,2008-04-01,
17069,2008-04-01,
17063,2008-04-01,
17109,2008-04-01,
17127,2008-04-01,
17073,2008-04-01,
17061,2008-04-01,
17157,2008-04-01,
17149,2008-04-01,
17203,2008-04-01,
17145,2008-04-01,
17087,2008-04-01,
17173,2008-04-01,
17051,2008-04-01,
17201,2008-04-01,
17141,2008-04-01,
17139,2008-04-01,
17017,2008-04-01,
17167,2008-04-01,
17179,2008-04-01,
17099,2008-04-01,
17183,2008-04-01,
17007,2008-04-01,
17137,2008-04-01,
17123,2008-04-01,
17079,2008-04-01,
17013,2008-04-01,
17121,2008-04-01,
17187,2008-04-01,
17197,2008-04-01,
17153,2008-04-01,
17119,2008-04-01,
17133,2008-04-01,
17003,2008-04-01,
17043,2008-04-01,
17165,2008-04-01,
17097,2008-04-01,
17117,2008-04-01,
17195,2008-04-01,
17107,2008-04-01,
17081,2008-04-01,
17101,2008-04-01,
17143,2008-04-01,
17019,2008-04-01,
17045,2008-04-01,
17021,2008-04-01,
17095,2008-04-01,
17111,2008-04-01,
17015,2008-04-01,
17047,2008-04-01,
17071,2008-04-01,
17077,2008-04-01,
17067,2008-05-01,
17025,2008-05-01,
17185,2008-05-01,
17113,2008-05-01,
17005,2008-05-01,
17009,2008-05-01,
17083,2008-05-01,
17147,2008-05-01,
17151,2008-05-01,
17011,2008-05-01,
17029,2008-05-01,
17131,2008-05-01,
17049,2008-05-01,
17035,2008-05-01,
17033,2008-05-01,
17057,2008-05-01,
17135,2008-05-01,
17115,2008-05-01,
17055,2008-05-01,
17023,2008-05-01,
17161,2008-05-01,
