CO_FIP,time,total_precipitation_m,latitude_precip,longitude_precip,temperature_K,latitude_temp,longitude_temp
17001,2007-12-31 18:00:00,0.00160362720489498,40.05,-91.2,,,
17001,2008-01-01 00:00:00,,,,270.932373046875,40.05,-91.2
17001,2008-01-31 18:00:00,0.0032616375479846797,40.05,-91.2,,,
17001,2008-02-01 00:00:00,,,,270.49931640625,40.05,-91.2
17001,2008-02-29 18:00:00,0.00272297840565438,40.05,-91.2,,,
17001,2008-03-01 00:00:00,,,,277.78701171875,40.05,-91.2
17001,2008-03-31 18:00:00,0.00385609846562142,40.05,-91.2,,,
17001,2008-04-01 00:00:00,,,,283.98828125,40.05,-91.2
17001,2008-04-30 18:00:00,0.0034911393187939802,40.05,-91.2,,,
17001,2008-05-01 00:00:00,,,,289.234375,40.05,-91.2
17001,2008-05-31 18:00:00,0.0051403758116065805,40.05,-91.2,,,
17001,2008-06-01 00:00:00,,,,296.7158935546875,40.05,-91.2
17001,2008-06-30 18:00:00,0.0045093417633324,40.05,-91.2,,,
17001,2008-07-01 00:00:00,,,,297.6584228515625,40.05,-91.2
17001,2008-07-31 18:00:00,0.00109550938941534,40.05,-91.2,,,
17001,2008-08-01 00:00:00,,,,296.1812744140625,40.05,-91.2
17001,2008-08-31 18:00:00,0.00752961616963142,40.05,-91.2,,,
17001,2008-09-01 00:00:00,,,,292.3812255859375,40.05,-91.2
17001,2008-09-30 18:00:00,0.0015331327449529801,40.05,-91.2,,,
17001,2008-10-01 00:00:00,,,,285.9364990234375,40.05,-91.2
17001,2008-10-31 18:00:00,0.0007987260352819801,40.05,-91.2,,,
17001,2008-11-01 00:00:00,,,,278.8762451171875,40.05,-91.2
17001,2008-11-30 18:00:00,0.00342972273938352,40.05,-91.2,,,
17001,2008-12-01 00:00:00,,,,270.720849609375,40.05,-91.2
17001,2008-12-31 18:00:00,0.00040576453320677997,40.05,-91.2,,,
17001,2009-01-01 00:00:00,,,,268.560107421875,40.05,-91.2
17001,2009-01-31 18:00:00,0.00214850883930914,40.05,-91.2,,,
17001,2009-02-01 00:00:00,,,,274.20625,40.05,-91.2
17001,2009-02-28 18:00:00,0.0039314865600317,40.05,-91.2,,,
